dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2016-12-09,中金在线 ,,http://sc.stock.cnfol.com/ggzixun/20161209/23955966.shtml,黄山旅游:旅游与徽文化融合,,,华安证券认为 黄山旅游成为黄山市乃至安徽省旅游资源的运作平台 这也是安徽省和黄山市对公司的定位 去年召开的黄山风景区改革发展座谈会上 提出公司要把旅游与徽文化...  2条相同新闻  -  百度快照,,,
2016-09-12,华夏经纬网 ,,http://www.huaxia.com/ah-tw/wtwl/2016/09/5005056.html,一次徽文化的探寻之旅,,,"陈诗椿来自台湾高雄,和他同行的还有40名台湾基层人士,他们组成“台湾基层人士参访团”探寻徽文化。9月4日他们来到首站泾县宣纸文化园,体验宣纸制造技艺。陈诗椿的徽...  2条相同新闻  -  百度快照",,,
2016-05-03,合肥网 ,,http://news.wehefei.com/system/2016/05/03/010706145.shtml,合肥网第e时间:“徽文化”本月12日起将亮相深圳文博会,,,"一年一度的深圳文博会本月即将开启,安徽省也将在会展期间开辟专门展厅、在这项文化交易的盛会上展示徽文化。记者今天从安徽合肥公共资源交易中心获悉,十二届深圳文...  3条相同新闻  -  百度快照",,,
2016-04-17,黄山新闻网 ,,http://www.newshs.com/t/b/2016-4-17/1460853345412.shtml,让改“徽”论坛成为深入探析徽州文化发展的枢纽,,,"与时俱进的永恒的子命题;判析改“徽”的利与弊,让其成为异域人强化意识理解徽州了解徽州的材料;挖掘徽州文化内涵,应该成为我们徽州一代代人热衷赞叹徽州文化的...  百度快照",,,
2016-03-30,贵阳晚报 ,,http://www.gywb.cn/content/2016-03/30/content_4754927.htm,《徽州文化大辞典》首发式举行,,,"中安在线讯据黄山在线报道, 3月29日上午,《徽州文化大辞典》首发式在屯举行。黄山市委书记任泽锋出席首发式并讲话,市领导孔晓宏、路海燕、周天伟、汪理文、陆群、...  4条相同新闻  -  百度快照",,,
2015-12-24,贵阳晚报 ,,http://www.gywb.cn/content/2015-12/24/content_4375246.htm,海外华裔青少年零距离体验徽文化,,,"12月20日下午,“2015年海外华裔青少年中国寻根之旅冬令营——安徽营”在合肥正式开营。据主办方介绍,此次活动为期10天,以徽文化为主要特色,采取课堂讲座和实地...  7条相同新闻  -  百度快照",,,
2015-05-12,华夏经纬网 ,,http://www.huaxia.com/ah-tw/wtwl/2015/05/4398825.html,台湾屏东县乡里长安徽参访团到歙县感受徽文化,,,"台湾屏东县乡里长安徽参访团到歙县感受徽文化 5月10日,台湾屏东县乡里长参访团一行来到歙县棠樾牌坊群、鲍家花园景区进行参观考察,感受徽州的人文历史和徽派盆景...  4条相同新闻  -  百度快照",,,
2013-05-26,搜狐新闻 ,,http://news.sohu.com/20130526/n377096482.shtml,中国徽文化艺术展示中心在京挂牌(图),,,原标题 [中国徽文化艺术展示中心在京挂牌(图)]十一届全国政协副主席郑万通(左)与中国文联主席孙家正(右)为中国徽文化艺术中心揭牌。 中新网北京5月26日电(记者...  8条相同新闻  -  百度快照,,,
2013-05-09,中国日报 ,,http://www.chinadaily.com.cn/hqjs/zjtw/2013-05-09/content_8987867.html,台湾“中视”记者惊叹歙县徽文化,,,"徽文化的氛围很浓,古色古香,景色很美,他们一定会把纪录片精心制作好,通过这个节目,让台湾人进一步认识徽文化,了解徽文化。  在古城景区拍摄采访时,台湾中视公司...  2条相同新闻  -  百度快照",,,
2012-11-23,新浪新闻 ,,http://news.sina.com.cn/o/2012-11-23/033925642876.shtml,与徽文化浪漫相约,,,"虽然地域意义上的一府六县古徽州的概念已不复存在,但黄山市徽州区作为徽州域名的唯一传承地,始终以传播徽文化,展示最具徽州特色的文化景观为己任,《相约徽州浪漫红...  2条相同新闻  -  百度快照",,,
2013-03-28,安徽网 ,,http://www.ahwang.cn/hefei/20130328/1260998.shtml,合肥长江中路立面改造主打徽文化牌 计划十月前完工,,,"昨天上午,记者从庐阳区城管局获悉,长江中路将与北一环同步进行立面改造,长江中路将用一些徽元素十足的街头小景进行点缀,并保留沿街建筑的历史文化风貌;而北一环则...  4条相同新闻  -  百度快照",,,
2012-03-10,中安在线 ,,http://ah.anhuinews.com/system/2012/03/10/004824979.shtml,不能“睡”在传统上 徽文化需走自己的路,,,"他对安徽文化创意产业的先行先试及推动力大加赞赏,鼓励安徽文化创意产业走自己的独特之路。 “这个首先是政府层面的重视,”厉无畏说,通过到合肥、铜陵等城市的考...  3条相同新闻  -  百度快照",,,
2011-12-27,中安在线 ,,http://ah.anhuinews.com/qmt/system/2011/12/26/004666464.shtml,徽州文化村,,,"名称:徽州文化村 简介: 徽州文化即徽文化,是中国三大地域文化之一,指古徽州一府六县物质文明和精神文明的总和,而不等同于安徽文化。徽州,今安徽黄山市、绩溪县及...  6条相同新闻  -  百度快照",,,
2011-10-21,新华网安徽站 ,,http://www.ah.xinhuanet.com/hwh/2011-10/21/content_23944225.htm,艺术家三河感受徽文化,,,"众多的老艺术家们一同到三河采风考察,让影迷们兴奋不已。  万年台上下热情沸腾  昨天上午10点多,众多电影艺术家、国外影人以及来自全国各地的媒体记者抵达三河参加...  3条相同新闻  -  百度快照",,,
2011-08-13,黄山新闻网 ,,http://www.newshs.com/a/20110813/00145.htm,【音频】祁门县:分类实施“百村千幢“工程 让徽文化“活”起来,,,"黄山新闻网8月13日讯(朱涌)2009年以来,祁门县坚持把实施“百村千幢”工程作为传承徽文化的重要举措,壮大旅游经济的重大支撑,改善民计民生的重要契机,助推农村发展...  百度快照",,,
2011-07-09,合肥晚报 ,,http://epaper.hf365.com/hfwb/html/2011-07/09/content_444816.htm,赵焰:不要简单解读徽文化,,,"昨天下午,本省作家赵焰亮相“2011新安读书月”之“皖籍名家面对面”首场讲座,从独特的视角,为现场读者解读了徽商与徽商精神,与听讲者分享了他对徽州、对徽文化的...  2条相同新闻  -  百度快照",,,
2010-07-09,腾讯新闻 ,,http://news.qq.com/a/20100709/001137.htm,陶情励志 武警安徽某部以“徽文化”滋养官兵,,,"安徽总队马鞍山支队结合官兵思想和审美特点,精选徽文化历史经典故事和驻地人文历史,利用一处处营区院落,制作成当代革命军人核心价值观文化长廊,让官兵时时受到传统文化...  2条相同新闻  -  百度快照",,,
2010-03-03,新华网 ,,http://news.xinhuanet.com/politics/2010-03/03/content_13091291.htm,"王福宏:守住古村落""筋骨肉"" 传承徽文化""精气神""",,,"新华网北京3月3日电(记者程士华、金小茜)全国人大代表、安徽省黄山市委书记王福宏说,为了更好地传承徽文化,黄山市启动“百村千幢”古民居保护利用工程,不仅可以守住...  10条相同新闻  -  百度快照",,,
2010-07-03,万家热线 ,,http://365jia.cn/news/2009-04-25/AC4D6E9C5C521C0A.html,“世博会安徽宣传周”昨启动 安徽主题展示徽文化,,,"安徽主题展示徽文化 在上海世博会上,我省“无徽不成镇——徽文化让城市更多彩”的主题方案已获审议通过。安徽展馆将分浏览型展馆和体验型展馆,以徽文化为核心展示...  2条相同新闻  -  百度快照",,,
2010-01-15,中安在线 ,,http://ah.anhuinews.com/system/2010/01/15/002584066.shtml,十家单位成为“徽文化”传习基地,,,"为推进徽州文化生态保护实验区建设,扶持非物质文化遗产传习活动,我省10家单位近日被授予“徽州文化生态保护实验区非物质文化遗产传习基地”称号。据悉,10个徽州文化...  3条相同新闻  -  百度快照",,,
2009-08-22,新华网 ,,http://news.xinhuanet.com/photo/2009-08/22/content_11927364.htm,海峡两岸大学生“徽文化研习营”开营(2),,,"当日,第三届海峡两岸大学生徽文化研习营在安徽合肥工业大学拉开帷幕,来自台湾义守大学、云林科技大学、元智大学的27名师生将在为期一周的时间里同合肥工业大学的师...  5条相同新闻  -  百度快照",,,
2012-01-10,国际在线 ,,http://gb.cri.cn/36724/2012/01/10/5431s3516579.htm,徽文化的精髓!源泉徽文化民俗博物馆(高清),,,"国际在线艺术收藏报道:安徽省源泉徽文化民俗博物馆创于1981年,是2003年6月29号由安徽省政府批准的第一家民办博物馆。我馆是由宣繁秋馆长出于对本土徽文化的热爱,...  7条相同新闻  -  百度快照",,,
2008-12-18,新华网 ,,http://www.xinhuanet.com/chinanews/2008-12/18/content_15213020.htm,京福高速铁路将成为徽文化“旅游新干线”,,,"“加快安徽重点铁路项目建设”工作会谈中获悉,京福高速铁路将穿越包括安徽省的绩溪、歙县、屯溪和江西婺源在内的国家级徽州文化生态保护实验区,串起沿途的主要旅游...  9条相同新闻  -  百度快照",,,
